[2023-02-07T20:06:45.131] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T20:06:45.377] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T20:06:45.627] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T20:06:46.545] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T20:06:49.137] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T20:06:49.566] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T20:06:49.975] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T20:06:50.671] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T20:06:50.881] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T20:06:51.230] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T20:06:51.687] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T20:06:51.897] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T20:06:52.439] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T20:06:52.990] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T20:06:53.608] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T20:06:54.645] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T20:06:54.959] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T20:06:55.751] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T20:06:56.106] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T20:06:56.380] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T20:06:58.256] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T20:06:58.530] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T20:06:59.266] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T20:06:59.858] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T20:07:00.069] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T20:07:27.611] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T20:07:28.229] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T20:18:30.899] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T20:18:37.135] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T20:18:48.457] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T20:18:54.866] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T20:18:55.711] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T20:18:55.883] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T20:18:56.446] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T20:18:56.672] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T20:18:57.039] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T20:18:58.194] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T20:18:58.496] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T20:18:58.796] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T20:18:58.925] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T20:18:59.179] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T20:18:59.734] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T20:19:01.307] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T20:19:01.755] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T20:19:02.212] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T20:19:03.808] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T20:19:04.063] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T20:19:04.306] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T20:19:05.020] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T20:19:44.305] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T20:19:45.210] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T20:19:48.532] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T21:02:14.687] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T21:02:15.744] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T21:02:16.703] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T21:02:17.312] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T21:02:17.768] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T21:02:18.220] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T21:02:19.132] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T21:02:20.570] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T21:02:21.509] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T21:02:24.038] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T21:02:24.486] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T21:02:24.686] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T21:02:25.009] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T21:02:25.336] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T21:02:25.819] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T21:02:26.010] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T21:02:26.510] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T21:02:27.066] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T21:06:39.965] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T21:06:41.348] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T21:06:41.781] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T21:06:42.200] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T21:06:42.499] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T21:06:43.988] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T21:06:44.271] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T21:06:45.169] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T21:06:45.451] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T21:06:46.622] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T21:06:46.929] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T21:06:48.400] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T21:06:48.789] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T21:06:50.534] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T21:06:50.830] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
[2023-02-07T21:06:52.339] [WARN] default - { rute: '/favicon.ico', method: 'GET' }
